OrderID,CustomerID,OrderDate,Amount,Status
2001,1001,2022-07-15,120.5,Complete
2002,1002,2022-07-15,0.0,Pending
2003,1003,2022-07-18,250.0,Shipped
2004,1004,2022-07-19,0.0,Complete
2005,1005,2022-07-20,-45.0,Failed
2006,1006,2022-07-21,500.0,Complete
2007,1007,2022-07-21,300.0,Shipped
2008,1008,2022-07-22,100.75,Pending
2009,1009,2022-07-22,200.0,Cancelled
2010,1010,2022-07-23,0.0,Complete
2011,1011,2022-07-23,340.9,Complete
2012,1012,2022-07-24,150.5,Complete
2013,1013,2022-07-24,180.0,Complete
2014,1014,2022-07-25,90.0,Shipped
2015,1015,2022-07-26,0.0,Pending
